ID,PRODUCTO,UNIDAD,CANTIDAD,PRECIO UNITARIO,PRESENTACION
1000,Sal de hormiga chicatana,bote,1,10,25 grs
1001,Aceite Virgen  de coco,kg,1,190,
1002,Ciruela,kg,1,40,
1003,Chabacano  rojo o amarillo,kg,1,38,
1004,Rambutan,kg,1,60,
1005,Tuna Verde,kg,1,35,
1006,Durazno,kg,1,50,
1007,Pera,kg,1,40,
1008,Pitaya,kg,1,50,
1009,Jiotilla,kg,1,80,250 grs
1010,Maracuya Tradicional,kg,1,55,
1011,Maracuya (largo),kg,1,35,
1012,Fresa,kg,1,120,
1013,Mora azul,kg,1,375,200 grs
1014,Mix de frutos rojos,kg,1,320,250 grs
1015,Zarzamora,kg,1,200,250 grs
1016,Frambuesas 250grs,kg,1,300,250 grs
1018,Higo fresco,kg,1,120,
1019,Mamey,kg,1,45,
1020,Mango ataulfo ,kg,1,40,
1021,Mango petacon,kg,1,35,
1022,Manzana criolla,kg,1,40,
1023,Guayaba,kg,1,40,
1024,Sandia,kg,1,15,
1025,Papaya,kg,1,25,
1026,Limon,kg,1,30,
1027,Pomelo,pz,1,15,
1028,Platano tabasco,kg,1,30,
1029,Platano morado o piña,kg,1,25,
1030,Platano macho,kg,1,25,
1031,Platano peron,kg,1,30,
1032,Pepino,kg,1,30,
1033,Piña miel,pz,1,35,
1034,Jamaica criolla,kg,1,350,100 grs
1035,Melon,pz,1,35,
1036,Tamarindo (pulpa),kg,1,50,500 grs
1037,Naranja,kg,1,17,
1038,Lichi,kg,1,50,
1039,Elotes rojos 4 piezas,paq,1,25,
1040,Col morada,pz,1,50,
1041,Col verde,pz,1,30,
1042,Ajo Criollo ,rollo,1,30,8 pzs
1043,Hongo silvestre,kg,1,220,
1044,Tomate,kg,1,30,
1045,Tomate Riñon,kg,1,40,
1046,Pimiento morron ,kg,1,55,
1047,Tomate cherry,kg,1,117,300 grs
1048,Miltomate (tomate verde),kg,1,35,
1049,Papa morada,kg,1,35,
1065,Chicharo en vaina,kg,1,40,
1051,Haba en vaina,kg,1,40,
1052,Camote amarillo,kg,1,40,
1053,Chayote criollo,kg,1,45,
1054,Nopalitos organicos,kg,1,67,300 grs
1055,Aguacate maduro,kg,1,65,
1056,Aguacate verde,kg,1,65,
1057,Cebolla ,kg,1,35,
1058,Ejote verde,kg,1,40,
1059,Brocoli,pz,1,20,
1060,Chile serrano,kg,1,60,250 grs
1061,Berenjena,kg,1,55,
1062,Hongo seta ,kg,1,160,
1063,Coliflor,pz,1,40,
1064,Esparragos,kg,1,300,200 grs
1066,Calabacita criolla,kg,1,50,
1067,Calabacita Italiana,kg,1,30,
1068,Col de bruselas,kg,1,120,
1069,Zanahoria,kg,1,35,
1070,Diente de leon,rollo,1,30,
1071,Berros rollo,rollo,1,25,
1072,Mostaza rollo,rollo,1,25,
1073,Verdolaga rollo,rollo,1,25,
1074,Lechuga roja (unstock),pz,1,25,
1075,Lechuga,pz,1,20,
1076,Rabano rollo de 10 piezas,rollo,1,15,
1077,Espinaca rollo,rollo,1,20,
1078,Acelga rollo,rollo,1,25,
1079,Apio,pz,1,25,
1080,Kale o col rizada ,rollo,1,25,
1081,Betabel pieza mediana,pz,1,15,
1082,Perejil,rollo,1,20,
1083,Arugula,kg,1,250,100 grs
1084,Cilantro,rollo,1,20,
1085,Albahaca,grs,1,30,
1086,lavanda,rollo,1,25,
1087,Jengibre organico 200g,kg,1,150,200 grs
1088,Jengibre organico 1kg,kg,1,150,
1089,Curcuma 200g,kg,1,200,200 grs
1090,Curcuma fresca 1kg,kg,1,200,
1091,Jengibre en polvo frasco,pz,1,100,70 grs
1092,Curcuma molida en frasco,pz,1,100,70 grs
