ID,PRODUCTO,UNIDAD,CANTIDAD,PRECIO UNITARIO,PRESENTACION,CATEGORIA,WEB
1000,Durazno,kg,1,50,,FRUTAS DE TEMPORADA,SI
30821,Pitajaya,kg,1,65,,FRUTAS DE TEMPORADA,NO
1015,Sandia,kg,1,20,,FRUTAS DE TEMPORADA,NO
1001,Higo fresco,kg,1,140,,FRUTAS DE TEMPORADA,SI
1002,Nanche amarillo,kg,1,45,,FRUTAS DE TEMPORADA,SI
1003,Guanabana,kg,1,50,,FRUTAS DE TEMPORADA,SI
1004,Maracuya Tradicional,kg,1,45,,FRUTAS DE TEMPORADA,SI
1005,Membrillo,kg,1,50,,FRUTAS DE TEMPORADA,SI
1007,Tuna Verde,kg,1,35,,FRUTAS DE TEMPORADA,SI
1008,Pera,kg,1,40,,FRUTAS DE TEMPORADA,SI
1009,Frambuesas 200grs,kg,1,375,200 grs,FRUTAS DE TEMPORADA,SI
1010,Fresa,kg,1,120,,FRUTAS DE TEMPORADA,SI
1011,Mora azul,kg,1,375,200 grs,FRUTAS DE TEMPORADA,SI
1012,Mix de frutos rojos,kg,1,320,250 grs,FRUTAS DE TEMPORADA,NO
3418,Mango petacon,kg,1,35,,FRUTAS DE TEMPORADA,SI
1014,Manzana criolla,kg,1,40,,FRUTAS DE TEMPORADA,SI
1016,Papaya,kg,1,25,,FRUTAS DE TEMPORADA,SI
1017,Limon,kg,1,30,,FRUTAS DE TEMPORADA,SI
1018,Pomelo,pz,1,15,,FRUTAS DE TEMPORADA,SI
1019,Platano tabasco,kg,1,30,,FRUTAS DE TEMPORADA,SI
1020,Platano macho,kg,1,25,,FRUTAS DE TEMPORADA,SI
1021,Platano morado o piña,kg,1,30,,FRUTAS DE TEMPORADA,SI
1022,Pepino,kg,1,30,,FRUTAS DE TEMPORADA,SI
1023,Piña miel,pz,1,40,,FRUTAS DE TEMPORADA,SI
1024,Melon,pz,1,35,,FRUTAS DE TEMPORADA,SI
1025,Guayaba,kg,1,40,,FRUTAS DE TEMPORADA,SI
1026,Pulpa de zarzamora congelada,kg,1,113,400 grs,FRUTAS DE TEMPORADA,SI
1027,Pulpa de mango congelada,kg,1,90,500 grs,FRUTAS DE TEMPORADA,SI
1028,Pulpa de piña congelada,kg,1,90,500 grs,FRUTAS DE TEMPORADA,SI
1029,Pulpa de maracuya congelada,kg,1,90,500 grs,FRUTAS DE TEMPORADA,SI
1030,Pulpa de fresa congelada,kg,1,90,500 grs,FRUTAS DE TEMPORADA,SI
1031,Hongo silvestre,kg,1,220,,VERDURAS,SI
1032,Camote amarillo,kg,1,55,,VERDURAS,SI
1033,Tomate,kg,1,30,,VERDURAS,SI
1035,Tomate cherry,kg,1,117,300 grs,VERDURAS,SI
1036,Miltomate de milpa,kg,1,50,,VERDURAS,NO
1037,Miltomate (tomate verde),kg,1,35,,VERDURAS,SI
1038,Papa morada sin tierra chica,kg,1,35,,VERDURAS,SI
1040,Chicharo en vaina,kg,1,40,,VERDURAS,SI
1041,Haba en vaina,kg,1,40,,VERDURAS,SI
1042,Chayote criollo,kg,1,45,,VERDURAS,SI
1043,Nopalitos organicos,kg,1,67,300 grs,VERDURAS,SI
1044,Cebolla ,kg,1,35,,VERDURAS,SI
1045,Aguacate maduro,kg,1,75,,VERDURAS,SI
1046,Aguacate verde,kg,1,75,,VERDURAS,SI
1047,Aguacate,kg,1,75,,VERDURAS,SI
1048,Ejote verde,kg,1,40,,VERDURAS,SI
1049,Brocoli,pz,1,20,,VERDURAS,SI
1050,Hongo seta ,kg,1,160,,VERDURAS,SI
1051,Chile serrano,kg,1,60,250 grs,VERDURAS,SI
1052,Coliflor,pz,1,40,,VERDURAS,SI
1053,Calabacita criolla,kg,1,50,,VERDURAS,SI
1054,Calabacita Italiana,kg,1,30,,VERDURAS,SI
1055,Zanahoria,kg,1,35,,VERDURAS,SI
1056,Esparragos,kg,1,300,200 grs,VERDURAS,SI
1057,Berenjena,kg,1,55,,VERDURAS,SI
1058,Col de bruselas,kg,1,120,,VERDURAS,SI
1060,Col verde,pz,1,25,,VERDURAS,SI
1061,Ajo Criollo ,rollo,1,30,8 pzs,VERDURAS,SI
1062,Lechuga,pz,1,20,,HORTALIZAS,SI
1063,Rabanitos rollo,rollo,1,15,,HORTALIZAS,SI
1064,Espinaca rollo,rollo,1,20,,HORTALIZAS,SI
1065,Acelga rollo,rollo,1,25,,HORTALIZAS,NO
1066,Apio,pz,1,25,,HORTALIZAS,SI
1067,Kale o col rizada ,rollo,1,25,,HORTALIZAS,SI
1068,Betabel pieza mediana,pz,1,15,,HORTALIZAS,SI
1069,Betabel rollo 3pzs chicas,rollo,1,15,,HORTALIZAS,SI
1070,Perejil,rollo,1,20,,HORTALIZAS,NO
1071,Cilantro,rollo,1,25,,HORTALIZAS,SI
1072,Romero fresco rollito,rollo,1,30,,AROMATICAS,
1073,Romero deshidratado ,pz,1,30,50 grs,AROMATICAS,
1074,Planta de romero,pz,1,35,,AROMATICAS,
1075,Manzanilla rollo,rollo,1,20,,AROMATICAS,
1076,Hierbabuena rollo,rollo,1,15,,AROMATICAS,
1077,Hierbasanta rollo,rollo,1,15,,AROMATICAS,
1078,Epazote rollito,rollo,1,15,,AROMATICAS,
1079,lavanda,rollo,1,25,,AROMATICAS,
1080,Salvia rollo ,rollo,1,20,,AROMATICAS,
1081,Eneldo rollito,rollo,1,25,,AROMATICAS,
1082,Te limon,rollo,1,20,,AROMATICAS,
1083,Brotes de rabano ,paq,1,75,100 grs,BROTES,
1084,Brotes de girasol,paq,1,60,100 grs,BROTES,
1085,Brotes de nabo,paq,1,40,100 grs,BROTES,
1086,Brotes de lenteja,paq,1,35,100 grs,BROTES,
1087,Brotes de alfalfa,paq,1,35,100 grs,BROTES,
1088,Brote de Mostaza,paq,1,35,100 grs,BROTES,
1089,Brotes de chicharo,paq,1,75,100 grs,BROTES,
1090,"Mix de 5 brotes (alfalfa, lenteja, mostaza, girasol y chicharo)",paq,1,65,100 grs,BROTES,
1091,Jengibre fresco,kg,1,150,200 grs,CURCUMA Y JENGIBRE,
1092,Jengibre en polvo frasco,pz,1,100,70 grs,CURCUMA Y JENGIBRE,
1093,Curcuma fresca,kg,1,200,200 grs,CURCUMA Y JENGIBRE,
1094,Curcuma molida en frasco,pz,1,100,70 grs,CURCUMA Y JENGIBRE,
1095,Tortillas Azules,kg,1,25,,PRODUCTOS DE MAIZ CRIOLLO,
1096,Tortillas Rojas,kg,1,25,,PRODUCTOS DE MAIZ CRIOLLO,
1097,Masa Azul,kg,1,25,,PRODUCTOS DE MAIZ CRIOLLO,
1098,Tostadas de sabores,paq,1,25, 8pzs,PRODUCTOS DE MAIZ CRIOLLO,
1099,Tostadas de maiz blanco,paq,1,20,8 pzs,PRODUCTOS DE MAIZ CRIOLLO,
1100,Totopo para chilaquiles ,bolsa,1,25,250 grs,PRODUCTOS DE MAIZ CRIOLLO,
1101,Pan vida dulce integral,pz,1,45,,PAN DE CAJA,
1102,Pan vida dulce semillas,pz,1,45,,PAN DE CAJA,
1103,Pan de masa madre naturel integral,pz,1,50,513 grs,PAN DE CAJA,
1104,Pan de masa madre naturel semillas,pz,1,50,513 grs,PAN DE CAJA,
1105,Palitos de pan de masa madre,bolsa,1,30,,PAN DE CAJA,
1106,Pan de trigo,pz,1,50,850 grs,PAN DE CAJA,
1107,Pan de trigo integral,pz,1,50,850 grs,PAN DE CAJA,
1108,baguette frances,pz,1,30,350 grs,PAN DE CAJA,
1109,"Pan de trigo: ajo,cebolla, hierbas",pz,1,60,860 grs,PAN DE CAJA,
1110,Pan de trigo integral: multigrano,pz,1,65,960 grs,PAN DE CAJA,
1111,Pan de trigo integral: avena/linaza,pz,1,65,950 grs,PAN DE CAJA,
1112,Pan de centeno integral: comino/cilantro,pz,1,75,850 grs,PAN DE CAJA,
1113,Pan de centeno integral: arandanos y nueces,pz,1,75,850 grs,PAN DE CAJA,
1114,Pan sin gluten: multigrano,pz,1,90,950 grs,PAN DE CAJA,
1115,Pan sin gluten: avena y linaza,pz,1,90,870 grs,PAN DE CAJA,
1116,Hogaza clasica de harina de centeno y trigo,pz,1,80,1 kg,PAN DE CAJA,
1117,Panque de platano con nuez,pz,1,120,,PANQUES Y GALLETAS,
1118,Panque de naranja bajo en azucar,pz,1,120,,PANQUES Y GALLETAS,
1119,Galletas de avena y chocolate,bolsa,1,35,5 pzs,PANQUES Y GALLETAS,
1120,Galletas de menta,bolsa,1,45,5 pzs,PANQUES Y GALLETAS,
1121,Brownie de chocolate,pz,1,35,,PANQUES Y GALLETAS,
1122,Panque de jengibre,pz,1,35,,PANQUES Y GALLETAS,
1123,Pan de trigo y nuez,pz,1,10,,PAN DE LA SIERRA,
1124,Pan de trigo y nuez PAQ,paq,1,45,,PAN DE LA SIERRA,
1125,Conchitas de amaranto,pz,1,22,2 pzs,PRODUCTOS DE AMARANTO,
1126,Galletas sin gluten de ajonjoli,paq,1,22,4 pzs,PRODUCTOS DE AMARANTO,
1127,Galletas sin azucar de manzana,paq,1,22,4 pzs,PRODUCTOS DE AMARANTO,
1128,Galletas sin azucar de frutos secos,paq,1,22,4 pzs,PRODUCTOS DE AMARANTO,
1129,Galletas de avena,paq,1,22,4 pzs,PRODUCTOS DE AMARANTO,
1130,Alegrias redondas de chocolate,pz,1,18,,PRODUCTOS DE AMARANTO,
1131,Huevo natural docena ,paq,1,48,,LACTEOS,
1132,Cono de huevo,paq,1,120,30 pzs,LACTEOS,
1133,Huevo natural c/u,pz,1,4,,LACTEOS,
